book,chapter,verse,duration
1,38,2,8.359125
1,38,3,4.257937
1,38,4,4.440812
1,38,5,8.59425
1,38,6,5.381188
1,38,7,6.269375
1,38,8,9.273438
1,38,9,13.035063
1,38,10,5.459562
1,38,11,19.173875
1,38,12,15.281625
1,38,13,6.530563
1,38,14,19.069375
1,38,15,6.269375
1,38,16,13.871
1,38,17,8.777125
1,38,18,15.36
1,38,19,6.164875
1,38,20,9.743625
1,38,21,11.650562
1,38,22,8.96
1,38,23,9.639125
1,38,24,15.177125
1,38,25,16.744438
1,38,26,10.344437
1,38,27,4.257937
1,38,28,9.743625
1,38,29,11.284875
1,38,30,7.053063
1,39,1,13.635875
1,39,2,8.359125
1,39,3,8.672625
1,39,4,11.04975
1,39,5,19.252187
1,39,6,15.177125
1,39,7,11.180375
1,39,8,13.5575
1,39,9,18.573062
1,39,10,10.057125
1,39,11,10.762437
1,39,12,12.068563
1,39,13,5.982
1,39,14,15.464437
1,39,15,12.355875
1,39,16,6.34775
1,39,17,10.684062
1,39,18,8.254687
1,39,19,13.270188
1,39,20,12.4865
1,39,21,9.142812
1,39,22,11.964062
1,39,23,12.564875
1,40,1,10.344437
1,40,2,7.653875
1,40,3,10.266063
1,40,4,9.87425
1,40,5,15.960812
1,40,6,6.452187
1,40,7,11.885687
1,40,8,13.453062
1,40,9,9.560812
1,40,10,11.36325
1,40,11,11.46775
1,40,12,8.96
1,40,13,16.744438
1,40,14,14.759125
1,40,15,9.639125
1,40,16,12.355875
1,40,17,11.546062
1,40,18,8.672625
1,40,19,12.251375
1,40,20,16.06525
1,40,21,7.131375
1,40,22,5.746937
1,40,23,6.269375
1,41,1,6.870188
1,41,2,8.8555
1,41,3,12.355875
1,41,4,12.146937
1,41,5,9.560812
1,41,6,7.471
1,41,7,9.456312
1,41,8,15.960812
1,41,9,6.530563
1,41,10,9.743625
1,41,11,7.653875
1,41,12,14.759125
1,41,13,7.836688
1,41,14,11.284875
1,41,15,13.453062
1,41,16,8.176312
1,41,17,7.288125
1,41,18,9.377937
1,41,19,15.281625
1,41,20,7.836688
1,41,21,11.04975
1,41,22,9.038312
1,41,23,7.653875
1,41,24,11.284875
1,41,25,9.038312
1,41,26,12.773875
1,41,27,16.143625
1,41,28,7.967313
1,41,29,6.870188
1,41,30,11.650562
1,41,31,9.142812
1,41,32,9.87425
1,41,33,7.758312
1,41,34,10.344437
1,41,35,13.871
1,41,36,13.792625
1,41,37,5.982
1,41,38,7.758312
1,41,39,9.560812
1,41,40,9.377937
1,41,41,7.131375
1,41,42,16.143625
1,41,43,11.964062
1,41,44,12.251375
1,41,45,14.863625
1,41,46,13.035063
1,41,47,5.146063
1,41,48,15.882437
1,41,49,9.639125
1,41,50,11.46775
1,41,51,9.97875
1,41,52,7.471
1,41,53,6.948562
1,41,54,13.792625
1,41,55,15.647312
1,41,56,12.956687
1,41,57,9.560812
1,42,1,8.4375
1,42,2,11.650562
1,42,3,6.34775
1,42,4,9.142812
1,42,5,8.59425
1,42,6,13.191812
1,42,7,18.390187
1,42,8,4.780375
1,42,9,12.852187
1,42,10,6.870188
1,42,11,8.071813
1,42,12,6.530563
1,42,13,15.777938
1,42,14,8.176312
1,42,15,5.746937
1,42,16,20.062
